LATITUDE,LONGITUDE,NAME,DESCRIPTION,ICON,CLUES,NOMRBE DE LA INSTITUCION DE SALUD,CLAVE DE LA INSTITUCION DE SALUD,NOMBRE DE LA ENTIDAD,CLAVE ENTIDAD,NOMBRE DEL MUNICIPIO
16.7637,-93.0731,CSSSA007610,"CSSSA007610
PATRIA NUEVA
SSA
NO DISPONIBLE SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,CSSSA007610,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7495,-93.0777,CSSME000066,"CSSME000066
HOSPITAL DE ESPECIALIDADES VIDA MEJOR
ESTATAL
CALZADA JUAN PABLO II Y ANTONIO PARINETE ALGARÍN SIN NÚMERO
UNIDAD DE HOSPITALIZACIÓN",182,CSSME000066,SERVICIOS MÉDICOS ESTATALES,ESTATAL,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.751,-93.0779,CSSSA008894,"CSSSA008894
HOSPITAL DE ESPECIALIDADES PEDIÁTRICAS
SSA
NO DISPONIBLE 
UNIDAD DE HOSPITALIZACIÓN",186,CSSSA008894,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7566,-93.0837,CSSSA018636,"CSSSA018636
TUXTLA (U.N.E.M.E. CAPA)
SSA
LIBRAMIENTO NORTE ORIENTE SALOMON GONZALEZ BLANCO ESQUINA PRESA MASATEPEC 3453-A
UNIDAD DE CONSULTA EXTERNA",186,CSSSA018636,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7571,-93.0842,CSSSA018455,"CSSSA018455
CAPASITS TUXTLA
SSA
BOULEVARD SALOMON GONZALES BLANCO 3453-C
UNIDAD DE CONSULTA EXTERNA",186,CSSSA018455,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7566,-93.0843,CSSSA018735,"CSSSA018735
TUXTLA   (U.N.E.M.E. CISAME)
SSA
LIBRAMIENTO NORTE ORIENTE ESQUINA PRESA MASATEPEC SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,CSSSA018735,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7529,-93.0892,CSSSA017492,"CSSSA017492
COORDINACIÓN ESTATAL DE VIH/SIDA/ITS (CAPASITS)
SSA
NO DISPONIBLE 312
UNIDAD DE CONSULTA EXTERNA",186,CSSSA017492,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7449,-93.0907,CSSSA007581,"CSSSA007581
BIENESTAR SOCIAL
SSA
NO DISPONIBLE SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,CSSSA007581,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7728,-93.0916,CSIST000461,"CSIST000461
SECH
ISSSTE
AVENIDA CENTRAL ORIENTE 11228
UNIDAD DE CONSULTA EXTERNA",157,CSIST000461,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,ISSSTE,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7633,-93.094,CSIMO005931,"CSIMO005931
TUXTLA GUTIÉRREZ 2
IMSS-PROSPERA
PROLONGACIÓN DE LA 5A NORTE Y BOULEVAD FIDEL VELÁZQUEZ 
UNIDAD DE CONSULTA EXTERNA",160,CSIMO005931,INSTITUTO MEXICANO DEL SEGURO SOCIAL. PROSPERA,IMSS-PROSPERA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7633,-93.094,CSIMO005955,"CSIMO005955
TUXTLA GUTIÉRREZ 4
IMSS-PROSPERA
PROLONGACIÓN DE LA 5A NORTE Y BOULEVAD FIDEL VELÁZQUEZ 
UNIDAD DE CONSULTA EXTERNA",160,CSIMO005955,INSTITUTO MEXICANO DEL SEGURO SOCIAL. PROSPERA,IMSS-PROSPERA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7632,-93.0941,CSIMO005926,"CSIMO005926
TUXTLA GUTIÉRREZ 1
IMSS-PROSPERA
PROLONGACIÓN DE LA 5A NORTE Y BOULEVAD FIDEL VELÁZQUEZ 
UNIDAD DE CONSULTA EXTERNA",160,CSIMO005926,INSTITUTO MEXICANO DEL SEGURO SOCIAL. PROSPERA,IMSS-PROSPERA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7473,-93.0965,CSSDN000013,"CSSDN000013
HOSPITAL MILITAR REGIONAL DE TUXTLA GTZ., CHIS.
SEDENA
CAMPO MILITAR NO. 31-B AVENIDA BELISARIO DOMÍNGUEZ SIN NÚMERO
UNIDAD DE HOSPITALIZACIÓN",182,CSSDN000013,SECRETARÍA DE LA DEFENSA NACIONAL,SEDENA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7496,-93.1004,CSSSA018711,"CSSSA018711
TUXTLA   (U.N.E.M.E. CRÓNICO DEGENERATIVOS)
SSA
CALZADA SAMUEL LEON BRINDIS SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,CSSSA018711,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7728,-93.102,CSSSA007605,"CSSSA007605
ALBANIA (EL VALLE)
SSA
NO DISPONIBLE SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,CSSSA007605,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7573,-93.1061,CSIMS000251,"CSIMS000251
HGZ 2 TUXTLA GUTIÉRREZ
IMSS
CALZADA EMILIO O. RABASA SIN NÚMERO
UNIDAD DE HOSPITALIZACIÓN",162,CSIMS000251,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7521,-93.1066,CSIST000456,"CSIST000456
SEDESOL
ISSSTE
AVENIDA CENTRAL ORIENTE 11228
UNIDAD DE CONSULTA EXTERNA",157,CSIST000456,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,ISSSTE,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7049,-93.108,CSSSA007651,"CSSSA007651
EL JOBO
SSA
NO DISPONIBLE 1
UNIDAD DE CONSULTA EXTERNA",186,CSSSA007651,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7845,-93.1091,CSSSA007576,"CSSSA007576
TUXTLA (COL. SANTA CRUZ)
SSA
NO DISPONIBLE SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,CSSSA007576,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7831,-93.1143,CSIMO005943,"CSIMO005943
TUXTLA GUTIÉRREZ 3
IMSS-PROSPERA
DOMICILIO CONOCIDO 
UNIDAD DE CONSULTA EXTERNA",160,CSIMO005943,INSTITUTO MEXICANO DEL SEGURO SOCIAL. PROSPERA,IMSS-PROSPERA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7532,-93.1147,CSIST000432,"CSIST000432
PALACIO FEDERAL
ISSSTE
PRIMERA NORTE Y PRIMERA ORIENTE 3 3ER PISO
UNIDAD DE CONSULTA EXTERNA",157,CSIST000432,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,ISSSTE,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7531,-93.1156,CSIMO005012,"CSIMO005012
TUXTLA GUTIÉRREZ
IMSS-PROSPERA
DOMICILIO CONOCIDO 
UNIDAD DE CONSULTA EXTERNA",160,CSIMO005012,INSTITUTO MEXICANO DEL SEGURO SOCIAL. PROSPERA,IMSS-PROSPERA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7541,-93.1156,CSSMM000011,"CSSMM000011
CLÍNICA DE LA MUJER ORIENTE
MUNICIPAL
LIBRAMIENTO NORTE ORIENTE ENTRE CALZADA ANDRES SERRA ROJAS Y JUAN PABLO II SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",182,CSSMM000011,SERVICIOS MÉDICOS MUNICIPALES,MUNICIPAL,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7452,-93.1164,CSSSA007634,"CSSSA007634
TUXTLA GUTIÉRREZ
SSA
NO DISPONIBLE 1092
UNIDAD DE CONSULTA EXTERNA",186,CSSSA007634,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7456,-93.1165,CSSSA007540,"CSSSA007540
HOSPITAL REGIONAL DR. RAFAEL PASCASIO GAMBOA TUXTLA
SSA
9A. SUR Y CALLE CENTRAL S/N
UNIDAD DE HOSPITALIZACIÓN",186,CSSSA007540,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7462,-93.1176,CSSSA019534,"CSSSA019534
TUXTLA (U.N.E.M.E. CIRUGÍA AMBULATORIA Y TORRE DE DIAGNÓSTICO)
SSA
NOVENA SUR Y CENTRAL SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,CSSSA019534,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7719,-93.1209,CSIST000473,"CSIST000473
U.H. FOVISSSTE PARAISO
ISSSTE
ANDADOR  VÍA LACTEA SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",157,CSIST000473,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,ISSSTE,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.71,-93.1227,CSSSA007646,"CSSSA007646
COPOYA
SSA
NO DISPONIBLE 116
UNIDAD DE CONSULTA EXTERNA",186,CSSSA007646,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7531,-93.1238,CSSME000071,"CSSME000071
UNIDAD MÉDICA FAMILIAR MORELOS
ESTATAL
SEGUNDA SUR PONIENTE 142
UNIDAD DE CONSULTA EXTERNA",182,CSSME000071,SERVICIOS MÉDICOS ESTATALES,ESTATAL,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7498,-93.129,CSIST000251,"CSIST000251
DR. BELISARIO DOMINGUEZ
ISSSTE
14 PONIENTE Y PERIFÉRICO SUR SIN NÚMERO
UNIDAD DE HOSPITALIZACIÓN",157,CSIST000251,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,ISSSTE,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7496,-93.1299,CSSSA007552,"CSSSA007552
UMMA I POTINASPAK
SSA
NO DISPONIBLE 
UNIDAD DE CONSULTA EXTERNA",186,CSSSA007552,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7457,-93.1312,CSSSA007564,"CSSSA007564
LAS CASITAS
SSA
NO DISPONIBLE 
UNIDAD DE CONSULTA EXTERNA",186,CSSSA007564,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7457,-93.1314,CSIMS000263,"CSIMS000263
UMF 13 TUXTLA GUTIÉRREZ
IMSS
BOULEVARD CHICOASÉN ESQUINA ARTÍCULO 115 
UNIDAD DE CONSULTA EXTERNA",162,CSIMS000263,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7457,-93.1314,CSIMS000316,"CSIMS000316
UMF 23 TUXTLA GUTIÉRREZ
IMSS
BOULEVARD SALOMÓN GONZÁLEZ BLANCO 2560
UNIDAD DE CONSULTA EXTERNA",162,CSIMS000316,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7495,-93.1321,CSIST000246,"CSIST000246
TUXTLA GUTIERREZ
ISSSTE
AVENIDA SEPTIMA SUR 1515-B
UNIDAD DE CONSULTA EXTERNA",157,CSIST000246,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,ISSSTE,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7612,-93.1482,CSIST000444,"CSIST000444
S.A.G.A.R.P.A.
ISSSTE
CARRETERA CHICOASEN SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",157,CSIST000444,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,ISSSTE,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.753,-93.1663,CSSSA007622,"CSSSA007622
TERAN
SSA
NO DISPONIBLE 215
UNIDAD DE CONSULTA EXTERNA",186,CSSSA007622,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7472,-93.1807,CSSSA018805,"CSSSA018805
CLÍNICA DE LA MUJER PONIENTE
SSA
BARRIO MIRADOR II SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,CSSSA018805,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
16.7643,-93.1837,CSSSA007593,"CSSSA007593
PLAN DE AYALA
SSA
NO DISPONIBLE 
UNIDAD DE CONSULTA EXTERNA",186,CSSSA007593,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
19.214778,-98.595985,DFSSA006214,"DFSSA006214
C.S. T-II ERMITA ZARAGOZA
SSA
RETORNO DE LA CIUDADELA S/N
UNIDAD DE CONSULTA EXTERNA",186,DFSSA006214,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,IZTAPALAPA
19.2255,-98.9515,DFSSA002602,"DFSSA002602
CLÍNICA COMUNITARIA MIXQUIC
SSA
CARRETERA MIXQUIC-CHALCO KM. 8 ESQUINA CALMECAC SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,DFSSA002602,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,TLÁHUAC
19.2244,-98.9642,DFIMO000540,"DFIMO000540
MIXQUIC (TLAHUAC 2)
IMSS-PROSPERA
CANAL DEL VADO BARRIO LOS REYES SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",160,DFIMO000540,INSTITUTO MEXICANO DEL SEGURO SOCIAL. PROSPERA,IMSS-PROSPERA,DISTRITO FEDERAL,9,TLÁHUAC
19.3078,-98.9681,DFSSA002561,"DFSSA002561
C.S.T-II SANTA CATARINA YECAHUIZOTL
SSA
RAFAEL OROPEZA Y GABRIEL MAR SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,DFSSA002561,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,TLÁHUAC
19.2109,-98.9713,DFSSA002544,"DFSSA002544
C.S.T-I SOLIDARIDAD TETELCO
SSA
VICENTE GUERRERO ESQUINA AVENIDA MORELOS SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,DFSSA002544,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,TLÁHUAC
19.3321,-98.9798,DFSSA001692,"DFSSA001692
C.S.T-I CAMPESTRE POTRERO
SSA
VIOLETA ESQUINA CANELA SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,DFSSA001692,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,IZTAPALAPA
19.3395,-98.9813,DFSSA018142,"DFSSA018142
CLÍNICA HOSPITAL EMILIANO ZAPATA
SSA
CUCO SÁNCHEZ ESQUINA PEDRO INFANTE 71
UNIDAD DE HOSPITALIZACIÓN",186,DFSSA018142,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,IZTAPALAPA
19.6401,-98.9823,MCSSA002196,"MCSSA002196
CHICONAUTLAN 3000 CLÍNICA DE MATERNIDAD
SSA
AVENIDA DE LOS ESCRITORES BARRIO III SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,MCSSA002196,SECRETARÍA DE SALUD,SSA,MÉXICO,15,ECATEPEC DE MORELOS
19.64188,-98.985306,MCSSA017905,"MCSSA017905
CAPA CENTRO NUEVA VIDA CHICONAUTLA 3000
SSA
AVENIDA DE LOS ESCRITORES BARRIO III CD. CUAUTÉMOC SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,MCSSA017905,SECRETARÍA DE SALUD,SSA,MÉXICO,15,ECATEPEC DE MORELOS
19.2174,-98.9891,DFSSA018265,"DFSSA018265
CONSULTORIO MÉDICO LEGAL DE LA COORDINACIÓN TERRITORIAL MLP- 2
SSA
AVENIDA PROLONGACIÓN ZARAGOZA Y 5 DE MAYO SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,DFSSA018265,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,MILPA ALTA
19.3424,-98.9896,DFSSA018002,"DFSSA018002
CARAVANA DE SALUD 2 SAN MIGUEL TEOTONGO
SSA
GENARO VAZQUEZ ESQUINA JOSÉLITO HUERTA SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,DFSSA018002,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,IZTAPALAPA
19.3427,-98.9897,DFSSA001832,"DFSSA001832
C.S.T-II SAN MIGUEL TEOTONGO
SSA
GENARO VÁZQUEZ ESQUINA JOSÉLITO HUERTA SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,DFSSA001832,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,IZTAPALAPA
19.2218,-98.9917,DFSSA018591,"DFSSA018591
UNEME CAPA DR. GASTÓN MELO
SSA
AVENIDA DR. GASTÓN MELO SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,DFSSA018591,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,MILPA ALTA
19.187,-98.9938,DFSSA002100,"DFSSA002100
C.S.T-I SAN JUAN TEPENAHUAC
SSA
VICENTE GUERRERO SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,DFSSA002100,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,MILPA ALTA
19.2215,-98.994,DFSSA002194,"DFSSA002194
C.S.T-III DR GASTÓN MELO
SSA
AVENIDA DR. GASTÓN MELO SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,DFSSA002194,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,MILPA ALTA
19.6471,-98.9947,MCSSA017596,"MCSSA017596
CAPA CENTRO NUEVA VIDA ECATEPEC CD. CUAUHTÉMOC
SSA
CERRADA TLATELOLCO SECCIÓN CUITLAHUAC SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,MCSSA017596,SECRETARÍA DE SALUD,SSA,MÉXICO,15,ECATEPEC DE MORELOS
19.1727,-98.9948,DFSSA002170,"DFSSA002170
C.S.T-II SANTA ANA TLACOTENCO
SSA
AVENIDA JOSÉ MARÍA MORELOS Y PAVÓN ESQUINA IGNACIO ZARAGOZA 
UNIDAD DE CONSULTA EXTERNA",186,DFSSA002170,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,MILPA ALTA
19.3648,-98.995,DFIST000143,"DFIST000143
ERMITA ZARAGOZA
ISSSTE
AVENIDA CONGRESO DE CHILPANCINGO NORTE  ESQUINA CONGRESO DE CHILPANCINGO SUR SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",157,DFIST000143,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,ISSSTE,DISTRITO FEDERAL,9,IZTAPALAPA
19.3649,-98.995,DFIST000155,"DFIST000155
GRAL. JOSE MARIA MORELOS Y PAVON
ISSSTE
AVENIDA CONGRESO DE CHILPANCINGO NORTE  ESQUINA CONGRESO DE CHILPANCINGO SUR SIN NÚMERO
UNIDAD DE HOSPITALIZACIÓN",157,DFIST000155,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,ISSSTE,DISTRITO FEDERAL,9,IZTAPALAPA
19.2849,-98.995,DFSSA002573,"DFSSA002573
C.S.T-II AMPLIACIÓN SELENE
SSA
MAR DE LOS VAPORES ESQUINA CRÁTER LOTE 1 MANZANA 181 ZONA 2
UNIDAD DE CONSULTA EXTERNA",186,DFSSA002573,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,TLÁHUAC
19.243,-98.995,DFSSA002631,"DFSSA002631
C.S.T-II SAN JUAN IXTAYOPAN
SSA
EMILIANO ZAPATA ESQUINA JOSÉ MARÍA MORELOS 1-A MANZANA 46 ZONA 70
UNIDAD DE CONSULTA EXTERNA",186,DFSSA002631,SECRETARÍA DE SALUD,SSA,DISTRITO FEDERAL,9,TLÁHUAC
19.6458,-98.995,MCSSA002242,"MCSSA002242
CIUDAD CUAUHTÉMOC
SSA
CERRADA TLATELOLCO SECCIÓN CUITLAHUAC SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,MCSSA002242,SECRETARÍA DE SALUD,SSA,MÉXICO,15,ECATEPEC DE MORELOS
